dateTimeFirstSeen	duration	protocol	endPointA_ipAddress	endPointA_portNo	direction	endPointB_ipAddress	endPointB_portNo	flags	tos	outboundPacketCount	inboundPacketCount	outboundByteCount	inboundByteCount	flowCount	dhcpLease_ipAddress	dhcpLease_macAddress	dhcpLease_expiryTimestamp	dnsRecord_ipAddress	dnsRecord_name	dnsRecord_timestamp	category
2015-09-10T12:25:39.605Z	393.458	6	192.168.22.153	50470	<->	216.58.218.193	443	.AP.SF	0	112	68	127702	4614	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	216.58.218.193	pagead-googlehosted.l.google.com	2015-09-10T11:33:40.000Z	Analytics
2015-09-10T12:53:03.418Z	14.211	6	23.72.158.143	80	<->	192.168.22.153	56848	.A..SF	0	4	2	172	92	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	23.72.158.143	user-att-107-205-48-0.e3572.c.akamaiedge.net	2015-09-10T12:39:04.000Z	CDN
2015-09-10T13:18:09.244Z	5.723	6	184.172.27.198	443	<->	192.168.22.153	58262	.APRSF	0	8	8	1190	4500	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	184.172.27.198	navdmp.com	2015-09-10T12:34:10.000Z	Analytics
2015-09-10T10:48:42.143Z	0.2	6	96.17.177.27	80	<->	192.168.22.153	49651	.AP.S.	0	6	7	931	5663	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	96.17.177.27	user-att-107-205-48-0.a568.d.akamai.net	2015-09-10T10:48:42.000Z	CDN
2015-09-10T12:57:15.299Z	0.386	6	162.208.21.162	80	<->	192.168.22.153	57536	.AP.SF	0	7	6	3902	642	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	162.208.21.162	geo-rtas.btrll.com	2015-09-10T12:34:18.000Z	AWS Amazon
2015-09-10T13:19:17.241Z	10.744	6	52.6.170.39	80	<->	192.168.22.153	58374	.A..SF	0	4	2	172	92	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	52.6.170.39	pohyg-vuhod.dashbida.com	2015-09-10T13:19:17.000Z	AWS Amazon
2015-09-10T13:26:19.793Z	15.234	6	96.16.7.26	443	<->	192.168.22.153	58540	.APRSF	0	6	6	832	430	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	96.16.7.26	user-att-107-205-48-0.a2047.dspl.akamai.net	2015-09-10T12:58:17.000Z	CDN
2015-09-10T13:14:34.573Z	10.354	6	184.30.20.46	443	<->	192.168.22.153	58144	.APRSF	0	10	8	768	5024	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	184.30.20.46	user-att-107-205-48-0.e990.g.akamaiedge.net	2015-09-10T13:14:34.000Z	CDN
2015-09-10T12:30:56.710Z	17.689	6	69.172.216.111	80	<->	192.168.22.153	51655	.A..SF	0	4	3	172	132	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	69.172.216.111	anycast.dt.adsafeprotected.com	2015-09-10T12:24:29.000Z	Ads
2015-09-10T14:22:49.840Z	46.103	6	108.162.232.200	80	<->	192.168.22.157	49195	.AP.SF	0	6	5	488	2298	2	192.168.22.157	60:6c:66:81:67:71	2015-09-11T00:24:27.000Z	108.162.232.200	hostedocsp.globalsign.com	2015-09-10T10:14:33.000Z	Analytics
2015-09-10T12:32:57.988Z	6.454	6	8.21.24.45	80	<->	192.168.22.153	52393	.A..SF	0	5	4	224	184	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	8.21.24.45	data.agkn.com	2015-09-10T12:24:29.000Z	Analytics
2015-09-10T14:18:22.621Z	0.741	6	96.16.7.72	80	<->	192.168.22.157	49172	.AP.S.	0	8	6	1419	1158	2	192.168.22.157	60:6c:66:81:67:71	2015-09-11T00:24:27.000Z	96.16.7.72	user-att-107-205-48-0.a1363.dscg.akamai.net	2015-09-10T14:18:22.000Z	CDN
2015-09-10T12:54:48.834Z	98.824	6	52.20.36.141	80	<->	192.168.22.153	57156	.AP.SF	0	11	9	5768	3102	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	52.20.36.141	wpp-stream-tc-use1-1272711410.us-east-1.elb.amazonaws.com	2015-09-10T12:54:48.000Z	AWS Amazon
2015-09-10T15:18:47.210Z	115.205	6	68.142.250.141	443	<->	192.168.22.153	59857	.AP.SF	0	21	28	2600	24254	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	68.142.250.141	s.gycs.b.yahoodns.net	2015-09-10T15:18:47.000Z	Js Library
2015-09-10T12:36:17.682Z	0.717	6	69.172.216.55	80	<->	192.168.22.153	53328	.AP.SF	0	5	5	1525	439	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	69.172.216.55	anycast.pixel.adsafeprotected.com	2015-09-10T11:33:39.000Z	Ads
2015-09-10T14:03:30.196Z	36.267	6	192.168.22.153	59364	<->	216.39.55.12	443	.AP.SF	0	13	16	6838	7256	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	216.39.55.12	world.yax.gysm.yahoodns.net	2015-09-10T13:24:54.000Z	Js Library
2015-09-10T12:54:34.956Z	212.675	6	31.13.66.12	80	<->	192.168.22.153	57123	.AP.SF	0	271	271	316253	49698	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	31.13.66.12	liverail.c10r.facebook.com	2015-09-10T12:54:34.000Z	Social
2015-09-10T12:46:20.382Z	0.727	6	107.6.93.234	80	<->	192.168.22.153	55711	.AP.SF	0	6	5	2297	697	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	107.6.93.234	loadus.tm.ssl.exelator.com	2015-09-10T12:44:59.000Z	Ads
2015-09-10T12:31:39.460Z	15	6	96.16.7.83	80	<->	192.168.22.153	51885	.A..SF	0	4	3	172	132	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	96.16.7.83	user-att-107-205-48-0.a1961.g.akamai.net	2015-09-10T12:24:36.000Z	CDN
2015-09-10T13:24:05.300Z	0.088	17	74.125.227.199	443	<->	192.168.22.153	56458	......	0	4	4	1766	1788	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	74.125.227.199	safebrowsing.cache.l.google.com	2015-09-10T13:04:06.000Z	Analytics
2015-09-10T12:31:22.859Z	34.282	6	31.13.66.12	80	<->	192.168.22.153	51805	.AP.SF	0	25	18	27410	3154	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	31.13.66.12	liverail.c10r.facebook.com	2015-09-10T10:06:36.000Z	Social
2015-09-10T12:28:22.605Z	59.623	6	31.13.66.12	80	<->	192.168.22.153	50740	.AP.SF	0	11	10	5638	2279	2	192.168.22.153	68:a3:c4:31:25:95	2015-09-10T21:56:31.000Z	31.13.66.12	liverail.c10r.facebook.com	2015-09-10T10:06:36.000Z	Social
